variant,family,model,suite,run_dir,n,sr,safety,sbu,pus,vsi
Tilt relaxed: 20deg,LIBERO,openvla-7b,libero_spatial,runs/eval/libero-spatial/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.78,0.095,0.11377245508982035,0.18815945697250222
Tilt relaxed: 20deg,LIBERO,pi0.5,libero_spatial,runs/eval/libero-spatial/pi0.5/pretrained_20260427_213334,200.0,0.99,0.755,0.235,0.23737373737373738,0.1667577949760787
Tilt relaxed: 20deg,RoboCasa-365,gr00t-n1.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/gr00t-n1.5/leaderboard_v2_20260510_195000,900.0,0.4722222222222222,0.5077777777777778,0.17777777777777778,0.3764705882352941,0.24168986960225974
Tilt relaxed: 20deg,RoboCasa-365,pi0.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0.5/leaderboard_v2_20260511_114016,900.0,0.42333333333333334,0.5733333333333334,0.1511111111111111,0.3569553805774278,0.135774083282838
Tilt relaxed: 20deg,RoboCasa-365,pi0,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0/leaderboard_v2_20260511_064122,900.0,0.3244444444444444,0.4488888888888889,0.12,0.3698630136986301,0.22988454592403734
Tilt relaxed: 30deg,LIBERO,cosmos-policy-2b,libero_10,runs/eval/libero-10/cosmos-policy-2b/v2_20260504_035804,200.0,0.86,0.9,0.075,0.0872093023255814,0.05925402339306336
Tilt relaxed: 30deg,LIBERO,gr00t-n1.7,libero_10,runs/eval/libero-10/gr00t-n1.7/v2_20260503_183404,200.0,0.85,0.82,0.135,0.1588235294117647,0.10364589999014413
Tilt relaxed: 30deg,LIBERO,openvla-7b,libero_10,runs/eval/libero-10/openvla-7b/pretrained_20260508_131631,200.0,0.4,0.875,0.055,0.1375,0.06387627251957453
Tilt relaxed: 30deg,LIBERO,pi0.5,libero_10,runs/eval/libero-10/pi0.5/v2_20260503_234645,200.0,0.885,0.865,0.125,0.14124293785310735,0.07350915306928638
Tilt relaxed: 30deg,LIBERO,cosmos-policy-2b,libero_goal,runs/eval/libero-goal/cosmos-policy-2b/pretrained_20260424_202228,200.0,0.975,0.89,0.105,0.1076923076923077,0.051333221724935686
